date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:58:16	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Aug%202018%2007:58:15%20GMT	http://www.getgiftcards.ltd/robots.txt		(from )
14:58:17	14907/14907	---M-Z	200	added ('OK')	text/html	etag:%225eac4a26a223d41:0%22	http://www.getgiftcards.ltd/	C:/Users/Administrator/Desktop/last/last/www.getgiftcards.ltd/index.html	(from )
14:58:18	11437/11437	---M--	200	added ('OK')	image/png	etag:%22b8477c837b27a99f26a6e7e79512e24d%22	http://i.imgur.com/wyCTs1C.png	C:/Users/Administrator/Desktop/last/last/i.imgur.com/wyCTs1C.png	(from http://www.getgiftcards.ltd/)
14:58:18	13247/13247	---M-Z	200	added ('OK')	text/html	etag:%22d0871a479d23d41:0%22	http://www.getgiftcards.ltd/free-google-play-gift-cards.html	C:/Users/Administrator/Desktop/last/last/www.getgiftcards.ltd/free-google-play-gift-cards.html	(from http://www.getgiftcards.ltd/)
14:58:19	3980/3980	---M--	200	added ('OK')	image/png	etag:%22ef8f1b20a223d41:0%22	http://www.getgiftcards.ltd/i.imgur.com/tw55sy5.png	C:/Users/Administrator/Desktop/last/last/www.getgiftcards.ltd/i.imgur.com/tw55sy5.png	(from http://www.getgiftcards.ltd/)
14:58:20	13229/13229	---M-Z	200	added ('OK')	text/html	etag:%22a0125d729d23d41:0%22	http://www.getgiftcards.ltd/free-xbox-gift-cards.html	C:/Users/Administrator/Desktop/last/last/www.getgiftcards.ltd/free-xbox-gift-cards.html	(from http://www.getgiftcards.ltd/)
14:58:20	4220/4220	---M--	200	added ('OK')	image/png	etag:%224e9311fa223d41:0%22	http://www.getgiftcards.ltd/i.imgur.com/IXFhYIG.png	C:/Users/Administrator/Desktop/last/last/www.getgiftcards.ltd/i.imgur.com/IXFhYIG.png	(from http://www.getgiftcards.ltd/)
14:58:21	13238/13238	---M-Z	200	added ('OK')	text/html	etag:%22f9dfef1b9d23d41:0%22	http://www.getgiftcards.ltd/free-steam-gift-cards.html	C:/Users/Administrator/Desktop/last/last/www.getgiftcards.ltd/free-steam-gift-cards.html	(from http://www.getgiftcards.ltd/)
14:58:22	4324/4324	---M--	200	added ('OK')	image/png	etag:%22cb2fdb1fa223d41:0%22	http://www.getgiftcards.ltd/i.imgur.com/QyqyMTz.png	C:/Users/Administrator/Desktop/last/last/www.getgiftcards.ltd/i.imgur.com/QyqyMTz.png	(from http://www.getgiftcards.ltd/)
14:58:22	13240/13240	---M-Z	200	added ('OK')	text/html	etag:%22f2b7e2b29d23d41:0%22	http://www.getgiftcards.ltd/free-skype-gift-cards.html	C:/Users/Administrator/Desktop/last/last/www.getgiftcards.ltd/free-skype-gift-cards.html	(from http://www.getgiftcards.ltd/)
14:58:23	86659/86659	---MC-	200	added ('OK')	text/javascript	date:Fri,%2024%20Mar%202017%2020:55:54%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/Users/Administrator/Desktop/last/last/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from http://www.getgiftcards.ltd/)
14:58:23	3744/3744	---M--	200	added ('OK')	image/png	etag:%2244cc701ea223d41:0%22	http://www.getgiftcards.ltd/i.imgur.com/BCTe1S3.png	C:/Users/Administrator/Desktop/last/last/www.getgiftcards.ltd/i.imgur.com/BCTe1S3.png	(from http://www.getgiftcards.ltd/)
